X,Y,OBJECTID,TOILET_NAME,ADDRESS,POSTCODE,WARD,OPENING,MALE,URINALS,FEMALE,UNISEX,ACCESS1,ACC_INFO,CHANGINGPLACE,AUTO_OPEN,PULL_CORD,RADAR,BABYCHANGE,FAMILYTOILET,AUTOLOO,ATTENDED,FULLTIMESTAFF
362290,176506,1,Snuff Mills Park Public Conveniences,"River View, Bristol",BS16 1DL,Frome Vale,"Monday - Sunday 08.00 - 17.15 (winter), 08:00 - 21.15 (summer), excluding Christmas Day",1,0,0,2,1,"YES - Door 85cm, cubicle 200 x 220cm, seat height 53cm, mirror, coloured skirting, non reflective wall, non slip floor, accessible lock",N,N,,Y,Y,N,N,N,N
358927.0,176401.949999999,2,Ardagh Public Conveniences Horfield Common,"Kellaway Avenue, Horfield, Bristol",BS6 7YL,Bishopston & Ashley Down,"Monday-Sunday 08.00-17.15 (winter), 08:00-21.15 (summer), excluding Christmas Day",1,1,2,0,1,"YES - Moveable support rail, door 86cm, cubicle 160 x 367cm, seat 48cm, coloured skirting, non reflective wall, non slip floor, accessible locks",N,N,No,Y,N,N,N,,N
357886.6605,172926.526900001,3,Brandon Hill Park - Public Conveniences ,"Great George Street, City Centre, Bristol",BS1 5PZ,Hotwells & Harbourside,"Monday - Sunday 08.00 - 15.30, excluding Christmas Day",1,1,1,0,1,"YES - Support rail, cubicle size 188 x 270cm, seat height 48cm, mirror, contrast skirting, non reflective wall, non-slip floors, accessible locks",N,N,no,N,Y,N,N,,N
356202,178727,4,Blaise Castle House Museum and Roman Villa,Henbury Road,BS10 7QS,Henbury & Brentry,"Thu- Sun 11:00- 16:00, open Mondays during Bristol school holidays 10:00-17:00. Full details available on www.bristolmuseums.org.uk",1,3,1,,0,NONE,N,,,,Y,N,N,,N
355773.639,171882.542099999,5,Ashton Court Estate Public Conveniences Stable yard,"Kennel Lodge Road, Long Ashton, North Somerset",BS41 9JN,North Somerset Ward,"Monday-Sunday 07.00-17:00 (winter), 07:00-19:00 (summer), excluding Christmas Day",2,2,5,0,1,"YES - Moveable hand rail, door 89cm, cubicle 167 x 194cm, seat of toilet 48cm, mirror, non reflect walls, non slip floor, accessible locks",N,N,,N,Y,N,N,,N
359420,168653,8,"Hengrove Play Park, Hengrove Leisure Centre,","Hengrove way, Hengrove, Bristol",BS14 0HR,Hengrove & Whitchurch Park,Only open when Play Park is open.,,,,,1,YES,N,,,,,N,N,,N
363423.8024,176684.259,11,Oldbury Court Estate - Public Conveniences ,"Oldbury Court Road, Bristol",BS16 2JH ,Frome Vale,"Monday - Sunday 08.00 - 17.15 (winter), 08:00 - 21.15 (summer), excluding Christmas Day",0,1,0,2,1,"YES - Support rail moveable, door 85cm, cubicle 200 x 220cm, 53cm seat height, mirror, colour contrast skirting, non reflective wall, non-slip floor",N,N,no,N,Y,N,N,N,N
356604,177321,13,Canford Park - Public Convenience,"Canford Lane Westbury-on-Trym, Bristol",BS9 3NX,Westbury-on-Trym & Henleaze,"Open: 8am to 8pm, 7 days a week",0,0,0,1,1,"YES - Cubicle size 200 x 180cm, seat height 48cm, handrails",N,N,Y,N,N,N,N,N,N
359324.4883,175169.5548,15,St Andrews Park - Public Conveniences,"Melita Road (& Effingham Road), Bristol",BS6 5AZ,Ashley,"Monday - Sunday 7:30-21:00, excluding Christmas Day",1,2,3,0,1,currently vandalised closed,N,N,,Y,N,N,N,,N
363356,172449,16,Dundridge Public Conveniences,Recreation Ground Dundridge Lane Bristol,BS5 8SZ ,St George Troopers Hill,During match play only,,,,,0,NONE,N,,,,,N,N,,N
360612,170755,18,Broadwalk Shopping Centre,"Broadwalk, Knowle, Bristol",BS4 2QU,Knowle,"Monday-Thursday 08:00-18:30, Friday 08:00-19:30, Saturday 08:00-18:00, Sunday 10:00-16:00",2,3,5,,1,"YES - Radar key. If you don't have a radar key, push bell",N,N,Yes- during opening hours,Y,Y,N,N,,N
361539,170532,19,Tesco - Callington Road,Callington Road,BS4 5AY,Brislington West,"Mon 8am then 24 hours until 10pm on Sats, Sun 10am - 4pm",Yes,0,Yes,0,1,"YES - door width 80cm, cubicle 148cmx230cm, seat height 48 cm, no locking lugs, handrails. ",N,N,Yes- during open times,N,Y,N,N,,N
